Match ID,Runs,Mins,Ball Faced,4s,6s,Strike Rate,Batting Position,Dismissal,Inns,Ground,Start Date,Match_Format,Opposition,Result
ODI # 2742 ,12,33,22,1,0,54.54,2,lbw,1,Dambulla,18-Aug-08,ODI,Sri Lanka,Lost
ODI # 2745 ,37,82,67,6,0,55.22,2,caught,2,Dambulla,20-Aug-08,ODI,Sri Lanka,Win
ODI # 2750 ,25,40,38,4,0,65.78,1,run out,1,Colombo (RPS),24-Aug-08,ODI,Sri Lanka,Win
ODI # 2755,54,87,66,7,0,81.81,1,bowled,1,Colombo (RPS),27-Aug-08,ODI,Sri Lanka,Win
 ODI # 2756,31,45,46,3,1,67.39,1,lbw,2,Colombo (RPS),29-Aug-08,ODI,Sri Lanka,Lost
ODI # 2889 ,2,6,2,0,0,100,7,not out,1,Colombo (RPS),14-Sep-09,ODI,Sri Lanka,Win
ODI # 2898 ,16,28,24,1,0,66.66,4,caught,2,Centurion,26-Sep-09,ODI,Pakistan,Lost
ODI # 2901,,0,0,0,0,0,0,Team Did Not Bat,0,Centurion,28-Sep-09,ODI,Australia,No_Result
 ODI # 2904 ,79,121,104,9,2,75.96,4,not out,2,Johannesburg,30-Sep-09,ODI,West Indies,Win
ODI # 2913 ,30,53,41,3,0,73.17,4,caught,2,Vadodara,25-Oct-09,ODI,Australia,Lost
ODI # 2919,10,32,16,1,0,62.5,3,caught,2,Mohali,02-Nov-09,ODI,Australia,Lost
 ODI # 2932 ,27,20,19,4,0,142.1,7,bowled,1,Rajkot,15-Dec-09,ODI,Sri Lanka,Win
ODI # 2933 ,54,93,65,7,0,83.07,4,lbw,1,Nagpur,18-Dec-09,ODI,Sri Lanka,Lost
ODI # 2935 ,107,-,114,11,1,93.85,4,caught,2,Eden Gardens,24-Dec-09,ODI,Sri Lanka,Win
ODI # 2936,,0,0,0,0,0,0,Team Did Not Bat,0,Delhi,27-Dec-09,ODI,Sri Lanka,No_Result
ODI # 2938,9,19,12,1,0,75,3,caught,1,Mirpur,05-Jan-10,ODI,Sri Lanka,Lost
 ODI # 2939 ,91,136,102,7,0,89.21,3,caught,2,Mirpur,07-Jan-10,ODI,Bangladesh,Win
ODI # 2941,71,98,68,9,0,104.41,3,not out,2,Mirpur,10-Jan-10,ODI,Sri Lanka,Win
 ODI # 2942,102,128,95,11,0,107.36,3,not out,2,Mirpur,11-Jan-10,ODI,Bangladesh,Win
 ODI # 2943,2,6,8,0,0,25,3,caught,1,Mirpur,13-Jan-10,ODI,Sri Lanka,Lost
 ODI # 2961,31,-,46,1,0,67.39,5,caught,1,Jaipur,21-Feb-10,ODI,South Africa,Win
 ODI # 2962 ,,0,0,0,0,0,0,Did Not Bat,0,Gwalior,24-Feb-10,ODI,South Africa,Win
ODI # 2963,57,-,71,4,1,80.28,3,caught,2,Ahmedabad,27-Feb-10,ODI,South Africa,Lost
 ODI # 2981,0,3,0,0,0,-,3,run out,1,Bulawayo,28-May-10,ODI,Zimbabwe,Lost
 ODI # 2983,82,125,92,4,0,89.13,3,caught,2,Bulawayo,30-May-10,ODI,Sri Lanka,Win
ODI # 2986,18,28,29,1,0,62.06,3,caught,1,Harare,03-Jun-10,ODI,Zimbabwe,Lost
 ODI # 2988,68,123,95,5,0,71.57,3,caught,1,Harare,05-Jun-10,ODI,Sri Lanka,Lost
 T20I # 182 ,26,30,21,3,1,123.8,5,not out,2,Harare,12-Jun-10,T20I,Zimbabwe,Win
T20I # 183 ,,0,0,0,0,0,0,Did Not Bat,0,Harare,13-Jun-10,T20I,Zimbabwe,Win
ODI # 2993 ,11,35,22,0,0,50,3,stumped,2,Dambulla,16-Jun-10,ODI,Bangladesh,Win
ODI # 2996 ,18,31,27,1,0,66.66,3,bowled,2,Dambulla,19-Jun-10,ODI,Pakistan,Win
ODI # 2999 ,10,13,14,1,0,71.42,3,caught,1,Dambulla,22-Jun-10,ODI,Sri Lanka,Lost
ODI # 3001 ,28,57,34,4,0,82.35,3,caught,1,Dambulla,24-Jun-10,ODI,Sri Lanka,Win
ODI # 3032 ,0,5,3,0,0,0,3,caught,2,Dambulla,16-Aug-10,ODI,Sri Lanka,Win
ODI # 3039 ,8,22,16,1,0,50,3,caught,1,Dambulla,25-Aug-10,ODI,New Zealand,Win
ODI # 3040 ,37,98,57,5,0,64.91,3,caught,2,Dambulla,28-Aug-10,ODI,Sri Lanka,Lost
ODI # 3060 ,118,193,121,11,1,97.52,3,caught,2,Visakhapatnam,20-Oct-10,ODI,Australia,Win
ODI # 3070 ,105,162,104,10,0,100.96,3,caught,1,Guwahati,28-Nov-10,ODI,New Zealand,Win
ODI # 3072 ,64,78,73,8,0,87.67,3,caught,2,Jaipur,01-Dec-10,ODI,New Zealand,Win
ODI # 3074 ,63,83,70,6,2,90,3,not out,2,Vadodara,04-Dec-10,ODI,New Zealand,Win
ODI # 3076 ,0,3,2,0,0,0,3,caught,2,Bengaluru,07-Dec-10,ODI,New Zealand,Win
ODI # 3077,2,10,8,0,0,25,3,caught,2,Chennai,10-Dec-10,ODI,New Zealand,Win
T20I # 196 ,28,28,19,5,0,147.36,1,bowled,1,Durban,09-Jan-11,T20I,South Africa,Win
ODI # 3079,54,122,70,2,1,77.14,3,caught,2,Durban,12-Jan-11,ODI,South Africa,Lost
 ODI # 3080 ,22,43,34,1,0,64.7,3,run out,1,Johannesburg,15-Jan-11,ODI,South Africa,Win
ODI # 3082 ,28,51,41,5,0,68.29,3,caught,2,Cape Town,18-Jan-11,ODI,South Africa,Win
ODI # 3084 ,87,126,92,7,2,94.56,3,not out,2,Gqeberha,21-Jan-11,ODI,South Africa,Lost
ODI # 3087 ,2,11,6,0,0,33.33,3,caught,2,Centurion,23-Jan-11,ODI,South Africa,Lost
ODI # 3100 ,100,113,83,8,2,120.48,4,not out,1,Mirpur,19-Feb-11,ODI,Bangladesh,Win
ODI # 3110 ,8,12,5,1,0,160,7,bowled,1,Bengaluru,27-Feb-11,ODI,England,Tied Match
ODI # 3121 ,34,82,53,3,0,64.15,4,run out,2,Bengaluru,06-Mar-11,ODI,Ireland,Win
ODI # 3124 ,12,16,20,2,0,60,5,bowled,2,Delhi,09-Mar-11,ODI,Netherlands,Win
ODI # 3128 ,1,2,3,0,0,33.33,7,caught,1,Nagpur,12-Mar-11,ODI,South Africa,Lost
ODI # 3141 ,59,128,76,5,0,77.63,3,bowled,1,Chennai,20-Mar-11,ODI,West Indies,Win
ODI # 3143 ,24,38,33,1,0,72.72,4,caught,2,Ahmedabad,24-Mar-11,ODI,Australia,Win
ODI # 3147 ,9,20,21,0,0,42.85,4,caught,1,Mohali,30-Mar-11,ODI,Pakistan,Win
ODI # 3148 ,35,69,49,4,0,71.42,4,caught,2,Wankhede,02-Apr-11,ODI,Sri Lanka,Win
T20I # 200 ,14,15,12,2,0,116.66,3,caught,1,Port of Spain,04-Jun-11,T20I,West Indies,Win
ODI # 3159 ,2,5,8,0,0,25,3,caught,2,Port of Spain,06-Jun-11,ODI,West Indies,Win
ODI # 3160 ,81,118,103,6,1,78.64,3,caught,2,Port of Spain,08-Jun-11,ODI,West Indies,Win
ODI # 3161 ,0,1,1,0,0,0,3,lbw,2,North Sound,11-Jun-11,ODI,West Indies,Win
ODI # 3162 ,22,68,33,1,0,66.66,3,stumped,2,North Sound,13-Jun-11,ODI,West Indies,Lost
ODI # 3163 ,94,135,104,10,0,90.38,3,run out,1,Kingston,16-Jun-11,ODI,West Indies,Lost
Test #1997 ,4,13,10,1,0,40,5,caught,1,Kingston,20-Jun-11,Test,West Indies,Win
Test # 1997 ,15,72,54,2,0,27.77,5,caught,3,Kingston,20-Jun-11,Test,West Indies,Win
Test # 1998 ,0,1,2,0,0,0,5,caught,1,Bridgetown,28-Jun-11,Test,West Indies,Drawn Match
Test # 1998 ,27,118,107,1,1,25.23,5,caught,3,Bridgetown,28-Jun-11,Test,West Indies,Drawn Match
Test # 1999 ,30,62,53,2,0,56.6,5,caught,2,Roseau,06-Jul-11,Test,West Indies,Drawn Match
Test #1999 ,,0,0,0,0,0,0,Did Not Bat,0,Roseau,06-Jul-11,Test,West Indies,Drawn Match
T20I # 204,4,5,5,0,0,80,4,caught,1,Manchester,31-Aug-11,T20I,England,Lost
 ODI # 3186,55,92,73,4,0,75.34,4,bowled,1,Chester-le-Street,03-Sep-11,ODI,England,No_Result
 ODI # 3187,9,9,9,0,0,100,4,caught,1,Southampton,06-Sep-11,ODI,England,Lost
 ODI # 3189 ,7,18,18,0,0,38.88,4,caught,1,The Oval,09-Sep-11,ODI,England,Lost
ODI # 3191 ,16,40,36,1,0,44.44,4,caught,1,Lord's,11-Sep-11,ODI,England,Tied Match
ODI # 3195 ,107,102,93,9,1,115.05,4,hit wicket,1,Cardiff,16-Sep-11,ODI,England,Lost
ODI # 3199 ,37,70,63,0,0,58.73,4,caught,1,Hyderabad,14-Oct-11,ODI,England,Win
ODI # 3201 ,112,134,98,16,0,114.28,4,not out,2,Delhi,17-Oct-11,ODI,England,Win
ODI # 3205 ,35,42,30,5,0,116.66,4,lbw,2,Mohali,20-Oct-11,ODI,England,Win
ODI # 3207 ,86,-,99,11,0,86.86,4,not out,2,Wankhede,23-Oct-11,ODI,England,Win
ODI # 3210 ,0,5,5,0,0,0,3,bowled,1,Eden Gardens,25-Oct-11,ODI,England,Win
T20I # 214 ,15,21,16,3,0,93.75,3,caught,1,Eden Gardens,29-Oct-11,T20I,England,Lost
Test #2019 ,52,154,111,5,0,46.84,6,caught,2,Wankhede,22-Nov-11,Test,West Indies,Drawn Match
Test #2019 ,63,136,114,3,1,55.26,6,caught,4,Wankhede,22-Nov-11,Test,West Indies,Drawn Match
ODI # 3217 ,3,13,6,0,0,50,4,bowled,2,Cuttack,29-Nov-11,ODI,West Indies,Win
ODI # 3219 ,117,154,123,14,0,95.12,4,caught,2,Visakhapatnam,02-Dec-11,ODI,West Indies,Win
ODI # 3221 ,20,21,30,3,0,66.66,4,lbw,2,Ahmedabad,05-Dec-11,ODI,West Indies,Lost
ODI # 3223 ,23,15,11,3,0,209.09,6,not out,1,Indore,08-Dec-11,ODI,West Indies,Win
ODI # 3224 ,80,99,85,5,0,94.11,5,caught,1,Chennai,11-Dec-11,ODI,West Indies,Win
Test #2025 ,11,28,21,1,0,52.38,7,caught,2,Melbourne,26-Dec-11,Test,Australia,Lost
Test #2025,0,3,1,0,0,0,6,lbw,4,Melbourne,26-Dec-11,Test,Australia,Lost
Test #2027 ,23,50,41,3,0,56.09,6,caught,1,Sydney,03-Jan-12,Test,Australia,Lost
Test #2027,9,35,24,2,0,37.5,6,lbw,3,Sydney,03-Jan-12,Test,Australia,Lost
 Test #2029,44,107,81,6,0,54.32,6,caught,1,Perth,13-Jan-12,Test,Australia,Lost
 Test #2029 ,75,191,136,9,0,55.14,6,caught,3,Perth,13-Jan-12,Test,Australia,Lost
Test #2031 ,116,237,213,11,1,54.46,6,lbw,2,Adelaide,24-Jan-12,Test,Australia,Lost
Test #2031 ,22,96,62,2,0,35.48,6,run out,4,Adelaide,24-Jan-12,Test,Australia,Lost
T20I # 217,22,30,21,0,1,104.76,3,caught,2,Sydney,01-Feb-12,T20I,Australia,Lost
